IdCompra,IdPropietario,IdDocumento,NoDocumento,IdProveedor,RetencionRenta,Concepto,IdTipoCompra,DeducibleServiciosMedicos,DeducibleColegiatura,DeducibleCombustible,DeducibleDonaciones
48,2,3,34132,46,FALSO,"Compra de Telas
Bases
Almidón
Alg Estamp
Almohadones 23
SABANA 160
CORTINA
Farda",1,FALSO,FALSO,FALSO,FALSO
49,2,1,17423229,12,FALSO,Pago de Energía Eléctrica,5,FALSO,FALSO,FALSO,FALSO
50,2,1,17370217,12,FALSO,Pago de Energía Eléctrica,5,FALSO,FALSO,FALSO,FALSO
51,2,1,157339,40,FALSO,Mes de Señal de Cable per.11/2004.-,5,FALSO,FALSO,FALSO,FALSO
52,2,3,3800924,3,FALSO,Consumo de Línea Fija,3,FALSO,FALSO,FALSO,FALSO
53,2,3,41332,55,FALSO,"Compra de Materiales de Construcción
30*30 Mármol Italia/Roma Unidad
Quidmeca Ultra Color Negro Libra
Moldura Negra 8mm Unidad",1,FALSO,FALSO,FALSO,FALSO
54,2,3,7160,18,FALSO,"Compra de Materiales de Construcción
Cemento",1,FALSO,FALSO,FALSO,FALSO
55,2,3,72869,67,FALSO,"Materiales para  Instalación
Disco para  Metal
Acido Muriático
Impac Bond
Tubo  pvc
TUBO1/2",1,FALSO,FALSO,FALSO,FALSO
56,2,3,72896,67,FALSO,"Materiales para Instalación
Bisagra doble4 
Electrodo 3/32
Tubo Industrial",1,FALSO,FALSO,FALSO,FALSO
57,2,3,7178,18,FALSO,"Materiales de Construcción
4 Bolsas Cemento "" CESA""",1,FALSO,FALSO,FALSO,FALSO
58,2,1,13422,18,FALSO,"Materiales de Construcción
Clavos
Tapón",5,FALSO,FALSO,FALSO,FALSO
59,2,3,270224,65,FALSO,"Compras Varias
Escalera Comercial 2
Galleta Murray Choco
Galleta Murray Doble",1,FALSO,FALSO,FALSO,FALSO
60,2,3,41410,55,FALSO,"Materiales de Construcción
Piezas 30*30 Italia 
Libra pore Negra
Molde Negra 8.-",1,FALSO,FALSO,FALSO,FALSO
61,2,3,32661,46,FALSO,"Compra de Accesorios para el hogar
47 Cortina Terminada",1,FALSO,FALSO,FALSO,FALSO
62,2,1,4926105,2,FALSO,"Compra de Desinfectantes
Cloro en Tabletas N ovacorp
Cloro Granulado Pittclorp 1Lb.-",5,FALSO,FALSO,FALSO,FALSO
63,2,3,454703,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
64,2,3,4985180,2,FALSO,"Compra de Acido
C/E Acido Muriatico S/Envase",1,FALSO,FALSO,FALSO,FALSO
65,2,3,3578,1,FALSO,"Co-diovan 80/12.5*14.-
Veratad 120mg
Lubriderm uv-15 240ml",1,FALSO,FALSO,FALSO,FALSO
66,2,1,5896586,3,FALSO,Pago de Comunicación Inalámbrica,5,FALSO,FALSO,FALSO,FALSO
67,2,1,36951303,3,FALSO,Pago de Línea Fija,5,FALSO,FALSO,FALSO,FALSO
68,2,3,20052,56,FALSO,Software Antivirus Panda Titanium 2004 s/n.-,3,FALSO,FALSO,FALSO,FALSO
69,2,5,11605,18,FALSO,2 Libras de Alambre,5,FALSO,FALSO,FALSO,FALSO
70,2,3,7218,18,FALSO,"Bolsas de Cemento
MT3 Arena
MT Grava",1,FALSO,FALSO,FALSO,FALSO
71,2,1,17423229,12,FALSO,Pago de Impuestos de Alcaldía,5,FALSO,FALSO,FALSO,FALSO
72,2,3,41525,55,FALSO,"30*30 Marmol Italia/ Roma Unidad
Quindeca Ultra color Negro Libra
Moldura Negra mm Unidad",1,FALSO,FALSO,FALSO,FALSO
73,2,5,1002,55,FALSO,"30*30 marmol italia / roma unidad
quindeca ultra color negro libra
moldura negra 8mm unidad",5,FALSO,FALSO,FALSO,FALSO
74,2,3,7223,18,FALSO,"Bolsas de cemento
hierro 3/8
clavo 2 1/2",1,FALSO,FALSO,FALSO,FALSO
75,2,3,73334,67,FALSO,"Codo 90* liso 1.1/4 pvc
curva 90  1.1/4 pvc",1,FALSO,FALSO,FALSO,FALSO
76,2,3,7228,18,FALSO,Bolsas de cemento,1,FALSO,FALSO,FALSO,FALSO
77,2,3,73381,67,FALSO,Impac bond gln,1,FALSO,FALSO,FALSO,FALSO
78,2,3,6128589,15,FALSO,"Tubo abasto inox
tubo abasto inox
toma caja doble
polarizado 170v
ticino 1211a
placa toma doble marfil
brocha cerda
válvula stop grival",1,FALSO,FALSO,FALSO,FALSO
79,2,3,6128590,15,FALSO,"Adaptador macho
sifon pvc pared
válvula stop eco
adaptador macho pvc
caja rectangular
3m lija agua usa
barniz marnot brillante
ready mix joint compounnd",1,FALSO,FALSO,FALSO,FALSO
80,2,3,6325683,15,FALSO,"Acido muriatico
cloro tricloro tabletas
clplus 3p",1,FALSO,FALSO,FALSO,FALSO
82,2,1,133912,69,FALSO,"Porta Conos
Foco de Preción",5,FALSO,FALSO,FALSO,FALSO
83,2,3,7230,18,FALSO,"Disco para Hierro 7
1/2 Yda.,usa
Tapón Liso",1,FALSO,FALSO,FALSO,FALSO
84,2,3,7194,18,FALSO,Bolsas de Cemento,1,FALSO,FALSO,FALSO,FALSO
85,2,3,7207,18,FALSO,"Bolsas de Cemento 
Lbs. Alamabre de Amarre",1,FALSO,FALSO,FALSO,FALSO
86,2,3,34903,46,FALSO,"1 Salmón
C cortinas
17 Faldones
Algest

1 Faldon",1,FALSO,FALSO,FALSO,FALSO
87,2,3,7233,18,FALSO,"Bolsas de Cemento Cesa
Adaptadores Machos 1/2
PVC",1,FALSO,FALSO,FALSO,FALSO
88,2,1,DS000F05181462,13,FALSO,Servicio de Agua Potable,5,FALSO,FALSO,FALSO,FALSO
89,5,3,1186750,70,FALSO,"Alinear Ruedas Delanteras
Balancear Llantas",2,FALSO,FALSO,FALSO,FALSO
90,5,3,49814,71,FALSO,Servicio,1,FALSO,FALSO,FALSO,FALSO
91,5,3,6341547,15,FALSO,Cemento gris cesa,1,FALSO,FALSO,FALSO,FALSO
92,5,3,106318,51,FALSO,583 shell defenda,2,FALSO,FALSO,FALSO,FALSO
93,5,3,409,22,FALSO,Tratamiento Odontológico,3,FALSO,FALSO,FALSO,FALSO
94,5,3,71917,62,FALSO,"Gasolina 
Energy 8000
Energy 5000
Energy Diesel
lubricantes",1,FALSO,FALSO,FALSO,FALSO
95,5,3,457935,9,FALSO,"Gasolina
361 power premiun",1,FALSO,FALSO,FALSO,FALSO
96,1,1,3854567,64,FALSO,"Compra de 2 Chequeras Serie ""D"" ( 50 Cheques )",5,FALSO,FALSO,FALSO,FALSO
97,2,1,37188,72,FALSO,Una Pijama,5,FALSO,FALSO,FALSO,FALSO
98,2,3,7236,18,FALSO,4 Bolsas de Cemento,1,FALSO,FALSO,FALSO,FALSO
99,1,1,23179,29,FALSO,"Compra de Papelería y Útiles
25 Folder Tamaño Carta",5,FALSO,FALSO,FALSO,FALSO
100,1,3,300804,7,FALSO,"Compra de Medicinas
3 Mega Calcio
2 Cozaar 50.
1 Amlosyn 10 mg.",3,FALSO,FALSO,FALSO,FALSO
101,1,3,63274668,15,FALSO,"Compra de Materiales para  Cisterna
Llave Mag Eco
Grival
Empaque Llave
Indus
Teléfono Alambrico

T",1,FALSO,FALSO,FALSO,FALSO
102,1,3,3613,1,FALSO,"Compra de Medicamentos
Avandamed",3,FALSO,FALSO,FALSO,FALSO
105,1,3,55328,73,FALSO,"Compra de Gasolina
20 Galones de Gasolina Super Premiun",2,FALSO,FALSO,FALSO,FALSO
106,1,3,1625,68,FALSO,"Cobro por Reparación de Bonba de Agua
Debobinado de un Motor de Bomba de Agua
Cambio de Sello Mecánico
Cambio de dos Baleros
Revisión de Sistema Eléctrico
Cambio de un Capacitador de Arranque
Un Motor de Bomba de Agua",1,FALSO,FALSO,FALSO,FALSO
107,1,3,459730,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
108,1,3,6328384,15,FALSO,"Materilaes para  Instalación
Unión pvc
Foco Claro
Brocha Cerda
Brocha Cerda 4
Adaptador Macho pvc 1
Alambre tnm 2-2 Blanco",1,FALSO,FALSO,FALSO,FALSO
109,1,3,6328385,15,FALSO,"Col. Latex Marfil
Col. Latex Blanco
Solvente Mineral
Col. Ltex Melon 
Exc.Latex Rosado Chifon
Exc. Aceite Blanco Mate
Exc. Aceiete Blanco",1,FALSO,FALSO,FALSO,FALSO
110,1,3,3839512,3,FALSO,Consumo de Línea Fija,3,FALSO,FALSO,FALSO,FALSO
111,1,3,6430468,15,FALSO,1 Bomba Cisterna a 1/2hp,1,FALSO,FALSO,FALSO,FALSO
112,1,3,6428368,15,FALSO,1 Manómetro de 0-100 PSI,1,FALSO,FALSO,FALSO,FALSO
113,1,3,394114,41,FALSO,"Compra de Gasolina 
Energy 8000 Super Premium-03-1",2,FALSO,FALSO,FALSO,FALSO
114,1,3,6428114,15,FALSO,"Solvente Mineral
Antic.P/ Estructuras
Negro Bte.
Col. Latex Blanco
Col. Aceite Blanco",1,FALSO,FALSO,FALSO,FALSO
115,1,3,3648,1,FALSO,"Compra de Medicamentos
Famotidina 40mg
Amaril 2.0 *20 Comprimi",1,FALSO,FALSO,FALSO,FALSO
116,1,3,73876,67,FALSO,Impac Bond Gln,1,FALSO,FALSO,FALSO,FALSO
117,1,3,355927,11,FALSO,"Compra de Medicamentos
Fastum- Gel 40gr",3,FALSO,FALSO,FALSO,FALSO
118,1,1,705360,74,FALSO,4 Pano Suavisa,5,FALSO,FALSO,FALSO,FALSO
119,1,3,7280,18,FALSO,Bolsas Cia. Negro,1,FALSO,FALSO,FALSO,FALSO
121,1,4,,75,FALSO,"Reparación de Lavadora
Cambio de Balero y Retenedor
Cambio de Brra Central
De Trasmisión Central",1,FALSO,FALSO,FALSO,FALSO
122,1,1,13761,18,FALSO,"Curva de Dos
T Lisa
T Rosca
Codo de 1/2
Codos Lisos de 1/2",5,FALSO,FALSO,FALSO,FALSO
123,1,1,13765,18,FALSO,1 Tubo de Pegamento,5,FALSO,FALSO,FALSO,FALSO
125,1,1,41640,78,FALSO,"15 Mts Conductor TNM 12-3
1 Toma Doble Ind Levinton
1 Placa Doble de Bak Aguila
1 Caja Rectangular Trico",5,FALSO,FALSO,FALSO,FALSO
126,1,1,17684412,12,FALSO,Pago Por Consumo de Energía Eléctrica,5,FALSO,FALSO,FALSO,FALSO
127,1,1,17698296,12,FALSO,Pago Por Consumo de Energía Eléctrica,5,FALSO,FALSO,FALSO,FALSO
128,1,3,4996381,2,FALSO,Compra de Acido Muriatico Sin Embase,1,FALSO,FALSO,FALSO,FALSO
130,2,3,494990,63,FALSO,"Compra de Llantas
F185 /70R14 EA
F185/70R14 EA
F185/70R14 EA
F185/70R14 EA
Montage y BA EA
Montage y BA EA
Montage y BA EA
Montage y BA EA",1,FALSO,FALSO,FALSO,FALSO
131,2,3,7256,18,FALSO,"Compra de Materiales
Bolsa de Cemento
Boceles Negro",1,FALSO,FALSO,FALSO,FALSO
132,2,3,7248,18,FALSO,"Compra de Materiales 
3 Bolsas de Cemento",1,FALSO,FALSO,FALSO,FALSO
133,2,3,7252,18,FALSO,"Compra de Materiales
3 Bolsas de Cemento",1,FALSO,FALSO,FALSO,FALSO
134,2,3,14687,78,FALSO,"5 Metros Conductor TNM. 12-2
6 Grapa Plástica Cuadrada12-2 EOG.
1 Cinta Tres Metros 10 Yardas 1711.
1 Termico G.E. 15A.1P
1 Cja Termica Gizal de 1C.",1,FALSO,FALSO,FALSO,FALSO
135,2,3,73637,67,FALSO,"1 Adaptador Hembra PVC
1 Codo  90* Liso PVC
Unión PVC 1.1/4",1,FALSO,FALSO,FALSO,FALSO
136,2,1,30356,5,FALSO,2 Perno Cabeza Hexágono 5/16*1,5,FALSO,FALSO,FALSO,FALSO
137,2,3,95567,5,FALSO,"Unión Pvc 1/2 Liso
Pegamento Tangit
válvula Fliper
Flotador para Tanque
Varillas de Broce para Flotador",1,FALSO,FALSO,FALSO,FALSO
138,2,3,459185,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
139,2,3,7271,18,FALSO,"2 Bolsas de cemento
1 Bocel Negro",1,FALSO,FALSO,FALSO,FALSO
140,2,3,95569,5,FALSO,"1 Tapadera Rectangular
1 Camisa Galvanizada con Rosca de 1/2
1 Adaptador Macho
12 Ancla Plástica    Amarilla",1,FALSO,FALSO,FALSO,FALSO
141,2,3,95570,5,FALSO,"1 Uñeta para Lavamanos
 Plástica",1,FALSO,FALSO,FALSO,FALSO
142,2,1,17642969,12,FALSO,Pago por Consumo de Energía Eléctrica,5,FALSO,FALSO,FALSO,FALSO
143,2,1,17642969,12,FALSO,Pago de Impuestos de Alcaldía,5,FALSO,FALSO,FALSO,FALSO
144,2,3,3839493,3,FALSO,Pago por Consumo de Línea Fija,1,FALSO,FALSO,FALSO,FALSO
145,2,3,9526,80,FALSO,Pago por Llamadas Internacionales,1,FALSO,FALSO,FALSO,FALSO
146,2,1,195176,40,FALSO,Pago Por Consumo de Cable,5,FALSO,FALSO,FALSO,FALSO
147,2,1,DS000F05557489,13,FALSO,Pago Por Servicio de Agua Potable,5,FALSO,FALSO,FALSO,FALSO
148,2,3,11114,79,FALSO,"Compra de Papelería Y útiles
Pizarrón Corcho
Mina 0-05",1,FALSO,FALSO,FALSO,FALSO
149,2,3,73760,67,FALSO,"Compra de Materiales
Pega PVC
Adaptador Hembra
Adaptador Macho
Adaptador Macho
Adaptador Macho
Bushin Galvanizado
Bushin Reductor
Cinta TEFLOM
Codo 90* liso
Codo 90* liso 
Tee Lisa 
Cinta Teflom",1,FALSO,FALSO,FALSO,FALSO
150,2,3,41829,55,FALSO,"Compra de Materiales
30*30 Marmol Florencia Unidad",1,FALSO,FALSO,FALSO,FALSO
151,2,3,461112,9,FALSO,"Compra de Gasolina
361 power Premium",2,FALSO,FALSO,FALSO,FALSO
152,2,1,17698301,12,FALSO,Pago  por  Consumo de Energía Eléctrica,5,FALSO,FALSO,FALSO,FALSO
153,2,1,4939486,3,FALSO,Pago de Consumo de Línea Móvil,5,FALSO,FALSO,FALSO,FALSO
154,2,3,7294,18,FALSO,"1 Desague Cromado
1 Bolsa de Cemento
 1 Bocel Negro",1,FALSO,FALSO,FALSO,FALSO
157,2,3,10218,81,FALSO,Empotodos,1,FALSO,FALSO,FALSO,FALSO
158,2,3,3905,82,FALSO,"Compra de Gasolina
Gasolina Energy 8000",1,FALSO,FALSO,FALSO,FALSO
159,5,3,168289,83,FALSO,"Servicios de Limpieza de Vehiculo
Castrol Syntec Blend
Internal Engine
Luber Finer
Luber Finer",1,FALSO,FALSO,FALSO,FALSO
160,5,3,8546,9,FALSO,Personal,1,FALSO,FALSO,FALSO,FALSO
161,5,3,462093,9,FALSO,"Compra de Gasolina
361 Power Premium",1,FALSO,FALSO,FALSO,FALSO
162,5,3,7290,18,FALSO,"Compra de Materiales
1 Bocel Negro
1 Bolsa de Cemento",1,FALSO,FALSO,FALSO,FALSO
163,5,3,73899,67,FALSO,"Compra de Materiales Varios
Ancla  Plástica
Tornillo Goloso
Llave de Chorro con Rosca",1,FALSO,FALSO,FALSO,FALSO
164,5,3,6431420,15,FALSO,"Ducha Plato Plast.
válvula Entrada
Tornillo  Unión
Baraniz Tinte
Col. Ltex
válvula Ducha",1,FALSO,FALSO,FALSO,FALSO
165,5,3,7295,18,FALSO,"Compra de Materiales para Instalación
Anclas
Tubo Tangit
Caja Rectangular
Empaque Esponjoso
Toma
T",1,FALSO,FALSO,FALSO,FALSO
166,5,3,7296,18,FALSO,"Compra de Accesorios para Sanitarios
válvula Salida Tanque
Sanitario
Tornillo Goloso
Unión Lisa
Unión Lisa",1,FALSO,FALSO,FALSO,FALSO
167,3,3,8009155,12,FALSO,Pago por Servicio de Energía Eléctrica,3,FALSO,FALSO,FALSO,FALSO
168,5,3,74114,67,FALSO,"Compra de  Materiales Para Instalación.
1 Pasador 2 1/2 Latonado
Alambre TNM 2*12  Pdca",1,FALSO,FALSO,FALSO,FALSO
169,1,3,463380,9,FALSO,"Compra de Gasolina 
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
170,1,3,463526,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
171,1,3,6429479,15,FALSO,"Compra de Accesorios para Sanitarios
Asiento para Inodoro Plast
Blanco
Asiento para Inodoro Canleligth prm",1,FALSO,FALSO,FALSO,FALSO
172,1,3,5066117,2,FALSO,"Compra de Materiales Varios
1 Caja Termica
1 Ddo Termico
1 Perno Para Estufa c/r 
Arandela Sae de Acero
Tubo Florecente Silvania 20w",1,FALSO,FALSO,FALSO,FALSO
174,1,3,355998,11,FALSO,"Gastos por Compra de Medicamentos
Cozaar 50mg*14 Tab",1,FALSO,FALSO,FALSO,FALSO
175,1,3,5067321,2,FALSO,"Compra de Materiales para Instalación
Reflector Philips 80w",1,FALSO,FALSO,FALSO,FALSO
176,1,3,5067040,2,FALSO,"Compra de Materiales
Cerradura Lane Bola 400us5",1,FALSO,FALSO,FALSO,FALSO
177,1,3,168437,83,FALSO,"Gastos Por Revisión de Vehiculo
Castrol  Sintec
Filtro Luber Finer Para Aceite",1,FALSO,FALSO,FALSO,FALSO
178,1,3,489882,63,FALSO,"Compras por Servicios Varios
Montage  y BA EA
Montage y BA EA",1,FALSO,FALSO,FALSO,FALSO
179,1,3,223,84,FALSO,"Compra y Reparación de Electrodoméstico
Licuadora 50h
Secadora hp  Cod 50h
Garantía 1 año",1,FALSO,FALSO,FALSO,FALSO
180,5,3,74177,67,FALSO,"Compra de Accesorios para Instalación
Toma 50 Amperios. 032
Placa Metálica para Toma 50 Amperios. 39ch.",1,FALSO,FALSO,FALSO,FALSO
181,2,3,2225,79,FALSO,Compra de Accesorios de Oficina,3,FALSO,FALSO,FALSO,FALSO
182,5,3,120916,17,FALSO,"Compra de Papelería y Útiles
4 CD Imation",3,FALSO,FALSO,FALSO,FALSO
183,5,3,465203,9,FALSO,"Compra de Gasolina
361 Power Premium",1,FALSO,FALSO,FALSO,FALSO
184,1,1,62317,1,FALSO,"Compra de Medicinas
5O Tabletas de Lorazepan 2mg.",5,FALSO,FALSO,FALSO,FALSO
185,2,1,49833689,3,FALSO,Pago por Consumo de Línea Fija,5,FALSO,FALSO,FALSO,FALSO
186,2,1,DS000F5702126,13,FALSO,Cobro por Servicios de Agua Potable,5,FALSO,FALSO,FALSO,FALSO
187,1,1,DS000F05702070,13,FALSO,Cobro por Servicios de Agua Potable,5,FALSO,FALSO,FALSO,FALSO
188,1,1,DS000F05702240,13,FALSO,Cobro por Servicios de Agua Potable,5,FALSO,FALSO,FALSO,FALSO
189,1,3,3862996,3,FALSO,Pago por Consumo de Línea Fija,3,FALSO,FALSO,FALSO,FALSO
190,1,3,164887,23,FALSO,Pago por Consumo de Internet y Cable,3,FALSO,FALSO,FALSO,FALSO
191,1,1,411043,85,FALSO,"Gastos por Compra de Alimentos
2 Latas
1 Agua
1 Orden de Camarones
1 Pescado 
1 Típico",5,FALSO,FALSO,FALSO,FALSO
192,1,3,467638,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
193,1,3,31048,7,FALSO,"Compra de Medicinas
1 Caja de cozaar
1 Caja de Abandamet
1 Caja de Amaril",1,FALSO,FALSO,FALSO,FALSO
194,2,3,551100,9,FALSO,"Compra de Gasolina
361 Power Premium",2,FALSO,FALSO,FALSO,FALSO
195,2,3,031-179769,86,FALSO,"Compra de Repuestos para Vehiculo
Fricción de Disco",3,FALSO,FALSO,FALSO,FALSO
196,2,1,30345,5,FALSO,"Compra de Materiales Varios
1 Reductor pvc
1 Reductor pvc
1 Adaptador Macho de 1 pvc de Presi.
2 Codo pvc Liso Original
2 Codo pvc 1/2 Liso",5,FALSO,FALSO,FALSO,FALSO
197,2,1,30348,5,FALSO,"Compra de Materiales de Fontaneria
1 Tee pvc 3/4 Liso",5,FALSO,FALSO,FALSO,FALSO
198,4,3,25275,34,FALSO,"Compra de Medicinas
Maticor 20 Tabletas 50 mg.",3,FALSO,FALSO,FALSO,FALSO
199,4,3,1625,87,FALSO,Por Servicios Médicos Prestados,1,FALSO,FALSO,FALSO,FALSO
200,5,3,552572,9,FALSO,"Compra de Gasolina
361 Power Premiun 97 Octanos",1,FALSO,FALSO,FALSO,FALSO
201,2,3,10289,81,FALSO,Copias y Exportar,1,FALSO,FALSO,FALSO,FALSO
202,2,1,65608,1,FALSO,"Compra de Medicinas
Aderogil Ampolla Adulto
Aderogil Ampolla Pediat",5,FALSO,FALSO,FALSO,FALSO
203,2,3,403577,41,FALSO,"Compra de Combustibles y Lubricantes
Energy 8000 Super Premiun-05-1",1,FALSO,FALSO,FALSO,FALSO
204,2,3,33951,46,FALSO,"Compra de Telas 
29 Fundas
25 Faldones
Cortina",1,FALSO,FALSO,FALSO,FALSO
205,2,3,2,88,FALSO,Pago por 8 Días de Trabajo de Servicio de Topografía,1,FALSO,FALSO,FALSO,FALSO
206,2,3,469263,9,FALSO,"Compra de Gasolina
361 Power Premiun",1,FALSO,FALSO,FALSO,FALSO
207,2,3,7349,18,FALSO,"Compra de Materiales
40 Ladrillos de Obra
1/2 mtr. De Arena",1,FALSO,FALSO,FALSO,FALSO
208,2,3,6434137,15,FALSO,"Compra de Materiales para Fontaneria
Destapador de tuberia Super",1,FALSO,FALSO,FALSO,FALSO
209,2,3,51083000,2,FALSO,"Compra de Materiales para Fontaneria
Tubo pvc Drenaje 6",1,FALSO,FALSO,FALSO,FALSO
