id,age,car,children,current_act,income,married,mortgage,save_act,sex,region,pep
ID12151,24,GOOD,2,INCIERTO,14309.7,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12152,36,BAD,0,INCIERTO,23894.8,AFIRMATIVO,FALSO,INCORRECTO,MALE,TOWN,NO
ID12153,43,BAD,1,CIERTO,16259.7,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,YES
ID12154,48,BAD,1,CIERTO,29794.1,NEGATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
ID12155,63,BAD,0,CIERTO,56842.5,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12156,52,BAD,3,INCIERTO,47835.8,NEGATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12157,58,BAD,0,CIERTO,24977.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12158,28,BAD,0,CIERTO,23124.9,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12159,29,BAD,0,CIERTO,15143.8,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12160,34,GOOD,1,CIERTO,25334.3,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12161,42,BAD,1,CIERTO,24763.3,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,YES
ID12162,65,GOOD,1,CIERTO,36589,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12163,47,BAD,2,CIERTO,27022.6,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12164,20,BAD,0,INCIERTO,11700.4,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12165,21,GOOD,0,CIERTO,5014.21,NEGATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12166,42,BAD,0,CIERTO,17390.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12167,19,BAD,2,CIERTO,10861,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12168,41,BAD,0,CIERTO,34892.9,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12169,30,BAD,2,CIERTO,19403.1,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12170,31,BAD,2,CIERTO,10441.9,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12171,25,GOOD,3,CIERTO,14064.9,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12172,21,BAD,0,CIERTO,8062.73,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
ID12173,36,GOOD,3,CIERTO,31982,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12174,58,BAD,2,INCIERTO,23197.5,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12175,64,GOOD,2,CIERTO,52674,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12176,59,GOOD,2,INCIERTO,35610.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12177,45,BAD,0,CIERTO,26948,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12178,61,GOOD,1,CIERTO,49456.7,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12179,30,GOOD,0,CIERTO,14724.5,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12180,58,GOOD,2,INCIERTO,34524.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12181,50,BAD,3,CIERTO,22052.1,NEGATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12182,30,BAD,3,CIERTO,27808.1,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,NO
ID12183,29,BAD,1,CIERTO,12591.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12184,35,BAD,1,CIERTO,16394.4,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12185,62,BAD,0,CIERTO,24026.1,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,YES
ID12186,36,GOOD,1,CIERTO,31683.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12187,25,BAD,0,CIERTO,15525,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12188,66,GOOD,0,CIERTO,22562.2,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12189,30,GOOD,0,INCIERTO,15848.7,AFIRMATIVO,VERDADERO,CORRECTO,MALE,SUBURBAN,NO
ID12190,54,BAD,2,CIERTO,31095.6,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12191,37,GOOD,1,CIERTO,24814.5,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,TOWN,YES
ID12192,28,BAD,2,CIERTO,25429.3,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12193,53,BAD,0,CIERTO,34866.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12194,61,GOOD,2,CIERTO,42579.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12195,61,GOOD,0,INCIERTO,41127.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12196,18,BAD,0,CIERTO,9990.11,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12197,22,BAD,1,INCIERTO,7948.62,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,NO
ID12198,34,GOOD,2,CIERTO,30870.8,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,YES
ID12199,35,BAD,2,CIERTO,12125.8,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12200,18,GOOD,0,CIERTO,15348.9,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,RURAL,NO
ID12201,54,BAD,1,CIERTO,26707.9,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12202,27,GOOD,2,CIERTO,11604.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12203,42,GOOD,0,CIERTO,15499.9,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,YES
ID12204,43,BAD,0,CIERTO,33088.5,NEGATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12205,64,BAD,1,CIERTO,34513.6,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12206,43,GOOD,3,CIERTO,32395.5,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12207,49,GOOD,0,INCIERTO,46633,AFIRMATIVO,FALSO,CORRECTO,MALE,RURAL,NO
ID12208,23,BAD,0,CIERTO,13039.9,AFIRMATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,NO
ID12209,23,BAD,0,CIERTO,12681.9,NEGATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12210,30,GOOD,2,CIERTO,24031.5,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12211,36,BAD,2,CIERTO,37330.5,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,YES
ID12212,34,GOOD,3,INCIERTO,25333.2,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,NO
ID12213,51,GOOD,0,CIERTO,37094.2,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12214,36,GOOD,2,CIERTO,33630.6,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,YES
ID12215,56,GOOD,1,CIERTO,43228.2,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12216,54,BAD,0,CIERTO,47796.8,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12217,56,BAD,2,INCIERTO,21730.3,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
ID12218,26,BAD,3,CIERTO,10044.1,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,NO
ID12219,39,GOOD,0,INCIERTO,17270.1,NEGATIVO,FALSO,INCORRECTO,MALE,TOWN,YES
ID12220,64,GOOD,3,CIERTO,45765,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12221,46,BAD,2,INCIERTO,29525.5,NEGATIVO,VERDADERO,CORRECTO,MALE,RURAL,NO
ID12222,62,GOOD,1,CIERTO,54863.8,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12223,36,BAD,1,INCIERTO,20799,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,YES
ID12224,35,BAD,1,CIERTO,33028.3,NEGATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12225,47,GOOD,3,INCIERTO,45031.9,NEGATIVO,FALSO,CORRECTO,MALE,RURAL,YES
ID12226,47,BAD,2,CIERTO,39010.8,AFIRMATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
ID12227,37,GOOD,0,CIERTO,25257.7,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
ID12228,48,BAD,0,CIERTO,42603.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12229,41,GOOD,3,CIERTO,14092.7,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12230,27,GOOD,0,CIERTO,21350.3,NEGATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12231,43,BAD,2,CIERTO,23246.4,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,NO
ID12232,61,BAD,3,CIERTO,41609.5,AFIRMATIVO,VERDADERO,CORRECTO,MALE,RURAL,NO
ID12233,52,GOOD,2,CIERTO,16716.1,NEGATIVO,FALSO,CORRECTO,FEMALE,SUBURBAN,NO
ID12234,64,GOOD,0,CIERTO,36436.4,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,SUBURBAN,NO
ID12235,66,GOOD,2,CIERTO,59503.8,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,YES
ID12236,53,GOOD,1,CIERTO,31334.8,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12237,20,GOOD,2,CIERTO,14048.9,AFIRMATIVO,VERDADERO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12238,57,BAD,0,CIERTO,39205.3,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12239,65,BAD,0,CIERTO,42173.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,NO
ID12240,64,BAD,1,CIERTO,55263,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12241,52,BAD,3,CIERTO,37095.2,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12242,47,BAD,0,CIERTO,22791.4,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12243,28,GOOD,1,INCIERTO,17240.6,AFIRMATIVO,VERDADERO,INCORRECTO,FEMALE,TOWN,NO
ID12244,64,GOOD,0,CIERTO,48974.8,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12245,25,BAD,1,CIERTO,18923,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12246,58,BAD,0,INCIERTO,51204.2,AFIRMATIVO,VERDADERO,CORRECTO,MALE,SUBURBAN,YES
ID12247,34,GOOD,2,CIERTO,20236.2,AFIRMATIVO,FALSO,INCORRECTO,MALE,TOWN,NO
ID12248,20,BAD,2,CIERTO,18860.3,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12249,63,GOOD,0,INCIERTO,25732.5,AFIRMATIVO,FALSO,CORRECTO,MALE,RURAL,NO
ID12250,30,GOOD,3,CIERTO,28240.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,SUBURBAN,NO
ID12251,53,GOOD,1,CIERTO,28193.6,AFIRMATIVO,FALSO,CORRECTO,MALE,RURAL,YES
ID12252,43,GOOD,2,CIERTO,36432.8,NEGATIVO,FALSO,INCORRECTO,MALE,TOWN,YES
ID12253,63,BAD,2,INCIERTO,54618.8,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,YES
ID12254,33,BAD,1,CIERTO,24760.8,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12255,41,GOOD,2,INCIERTO,23356.1,NEGATIVO,FALSO,INCORRECTO,MALE,RURAL,NO
ID12256,20,BAD,2,CIERTO,8143.75,AFIRMATIVO,FALSO,CORRECTO,FEMALE,SUBURBAN,YES
ID12257,50,GOOD,0,CIERTO,26462.5,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12258,24,GOOD,2,CIERTO,20467.3,AFIRMATIVO,FALSO,CORRECTO,MALE,RURAL,NO
ID12259,60,BAD,0,CIERTO,21506.2,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,TOWN,YES
ID12260,44,BAD,1,CIERTO,15315.3,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12261,23,GOOD,2,CIERTO,18875.7,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12262,40,BAD,0,INCIERTO,12977.2,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12263,49,BAD,3,CIERTO,20708.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,TOWN,NO
ID12264,21,GOOD,1,CIERTO,7549.38,NEGATIVO,FALSO,INCORRECTO,FEMALE,TOWN,NO
ID12265,40,BAD,0,INCIERTO,24904,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12266,26,BAD,1,CIERTO,24071.8,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,RURAL,YES
ID12267,20,BAD,1,CIERTO,9589.91,NEGATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12268,24,BAD,1,INCIERTO,8562.86,NEGATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,NO
ID12269,37,GOOD,0,CIERTO,26707.5,NEGATIVO,FALSO,CORRECTO,FEMALE,TOWN,NO
ID12270,56,BAD,0,CIERTO,34020.5,AFIRMATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,NO
ID12271,52,GOOD,0,CIERTO,49175.7,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12272,22,BAD,2,CIERTO,19726.3,AFIRMATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,NO
ID12273,35,GOOD,3,CIERTO,24346.6,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12274,34,GOOD,1,CIERTO,26999.4,AFIRMATIVO,FALSO,CORRECTO,MALE,RURAL,YES
ID12275,67,BAD,2,CIERTO,41558.1,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12276,58,BAD,0,CIERTO,56340.3,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12277,40,GOOD,0,CIERTO,37558.5,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12278,41,GOOD,0,CIERTO,30099.3,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,YES
ID12279,43,BAD,0,INCIERTO,15254.8,AFIRMATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
ID12280,63,BAD,2,CIERTO,36086.1,AFIRMATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
ID12281,22,BAD,1,CIERTO,17655,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,YES
ID12282,60,BAD,0,CIERTO,56658.9,NEGATIVO,FALSO,CORRECTO,MALE,RURAL,YES
ID12283,65,GOOD,0,CIERTO,37706.5,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12284,48,GOOD,2,CIERTO,18516,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12285,38,GOOD,0,INCIERTO,29622,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12286,49,GOOD,1,CIERTO,32669.9,AFIRMATIVO,VERDADERO,CORRECTO,MALE,RURAL,YES
ID12287,20,BAD,0,INCIERTO,18275.5,AFIRMATIVO,VERDADERO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12288,48,BAD,1,CIERTO,34410,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,TOWN,YES
ID12289,38,GOOD,2,CIERTO,34866.9,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,NO
ID12290,41,BAD,0,CIERTO,21796.6,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12291,67,GOOD,2,CIERTO,63130.1,AFIRMATIVO,FALSO,CORRECTO,FEMALE,SUBURBAN,YES
ID12292,39,GOOD,1,INCIERTO,14996.4,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12293,64,BAD,3,CIERTO,49024.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12294,41,GOOD,0,CIERTO,16249.8,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,YES
ID12295,55,GOOD,2,CIERTO,36192.1,AFIRMATIVO,FALSO,INCORRECTO,MALE,SUBURBAN,YES
ID12296,52,BAD,1,INCIERTO,17839.9,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12297,30,BAD,0,CIERTO,18802.4,NEGATIVO,VERDADERO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12298,52,GOOD,2,CIERTO,48720.3,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12299,26,BAD,2,CIERTO,14585.9,NEGATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,NO
ID12300,26,BAD,0,CIERTO,20819,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
