id,age,car,children,current_act,income,married,mortgage,save_act,sex,region,pep
ID12151,24,GOOD,2,INCIERTO,14309.7,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12152,36,BAD,0,INCIERTO,23894.8,AFIRMATIVO,FALSO,INCORRECTO,MALE,TOWN,NO
ID12153,43,BAD,1,CIERTO,16259.7,AFIRMATIVO,FALSO,CORRECTO,MALE,TOWN,YES
ID12154,48,BAD,1,CIERTO,29794.1,NEGATIVO,FALSO,CORRECTO,MALE,SUBURBAN,YES
ID12155,63,BAD,0,CIERTO,56842.5,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12156,52,BAD,3,INCIERTO,47835.8,NEGATIVO,FALSO,CORRECTO,FEMALE,RURAL,YES
ID12157,58,BAD,0,CIERTO,24977.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12158,28,BAD,0,CIERTO,23124.9,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12159,29,BAD,0,CIERTO,15143.8,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12160,34,GOOD,1,CIERTO,25334.3,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12161,42,BAD,1,CIERTO,24763.3,AFIRMATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,YES
ID12162,65,GOOD,1,CIERTO,36589,NEGATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12163,47,BAD,2,CIERTO,27022.6,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12164,20,BAD,0,INCIERTO,11700.4,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12165,21,GOOD,0,CIERTO,5014.21,NEGATIVO,VERDADERO,CORRECTO,MALE,TOWN,NO
ID12166,42,BAD,0,CIERTO,17390.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12167,19,BAD,2,CIERTO,10861,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12168,41,BAD,0,CIERTO,34892.9,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12169,30,BAD,2,CIERTO,19403.1,NEGATIVO,FALSO,CORRECTO,MALE,TOWN,NO
ID12170,31,BAD,2,CIERTO,10441.9,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12171,25,GOOD,3,CIERTO,14064.9,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12172,21,BAD,0,CIERTO,8062.73,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,YES
ID12173,36,GOOD,3,CIERTO,31982,NEGATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12174,58,BAD,2,INCIERTO,23197.5,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12175,64,GOOD,2,CIERTO,52674,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,YES
ID12176,59,GOOD,2,INCIERTO,35610.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12177,45,BAD,0,CIERTO,26948,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12178,61,GOOD,1,CIERTO,49456.7,AFIRMATIVO,VERDADERO,CORRECTO,MALE,INNER_CITY,YES
ID12179,30,GOOD,0,CIERTO,14724.5,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,NO
ID12180,58,GOOD,2,INCIERTO,34524.9,AFIRMATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12181,50,BAD,3,CIERTO,22052.1,NEGATIVO,FALSO,CORRECTO,FEMALE,TOWN,YES
ID12182,30,BAD,3,CIERTO,27808.1,NEGATIVO,FALSO,INCORRECTO,MALE,INNER_CITY,NO
ID12183,29,BAD,1,CIERTO,12591.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12184,35,BAD,1,CIERTO,16394.4,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12185,62,BAD,0,CIERTO,24026.1,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,YES
ID12186,36,GOOD,1,CIERTO,31683.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,YES
ID12187,25,BAD,0,CIERTO,15525,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12188,66,GOOD,0,CIERTO,22562.2,NEGATIVO,VERDADERO,CORRECTO,FEMALE,TOWN,NO
ID12189,30,GOOD,0,INCIERTO,15848.7,AFIRMATIVO,VERDADERO,CORRECTO,MALE,SUBURBAN,NO
ID12190,54,BAD,2,CIERTO,31095.6,AFIRMATIVO,FALSO,INCORRECTO,FEMALE,INNER_CITY,YES
ID12191,37,GOOD,1,CIERTO,24814.5,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,TOWN,YES
ID12192,28,BAD,2,CIERTO,25429.3,NEGATIVO,VERDADERO,CORRECTO,FEMALE,INNER_CITY,NO
ID12193,53,BAD,0,CIERTO,34866.5,NEGATIVO,FALSO,INCORRECTO,FEMALE,RURAL,YES
ID12194,61,GOOD,2,CIERTO,42579.1,AFIRMATIVO,FALSO,CORRECTO,MALE,INNER_CITY,NO
ID12195,61,GOOD,0,INCIERTO,41127.4,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12196,18,BAD,0,CIERTO,9990.11,AFIRMATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
ID12197,22,BAD,1,INCIERTO,7948.62,AFIRMATIVO,VERDADERO,INCORRECTO,MALE,INNER_CITY,NO
ID12198,34,GOOD,2,CIERTO,30870.8,AFIRMATIVO,VERDADERO,CORRECTO,MALE,TOWN,YES
ID12199,35,BAD,2,CIERTO,12125.8,NEGATIVO,FALSO,CORRECTO,FEMALE,INNER_CITY,NO
